地名id,地名,繁体地名,别名,地名类别,景观类型,地理位置,朝代,时期,经度,纬度,相关作品,相关人物,相关地点,相关事件,地名描述
408,朝天宫,朝天宮,,寺观/祠庙,政治军事,秦淮区水西门内,明代,明代,118.7697,32.0347,《金陵玄观志》,太平、卞壸、朱元璋,冶城、金陵、冶城山、夫子庙、宫后山、天庆观、孝陵、上元、王府巷、上元县、建康、运渎、白下、博物院、明故宫、莫愁路、西州桥、下街口、谢公墩,冶城、金陵、冶城山、夫子庙、宫后山、天庆观、孝陵、上元、王府巷、上元县、建康、运渎、白下、博物院、明故宫、莫愁路、西州桥、下街口、谢公墩,明洪武十七年（1384年），明太祖朱元璋下诏改建，并赐名为“朝天宫”。明代的朝天宫，一方面是皇室贵族焚香祈福、礼拜道教诸神的道场，另一方面在三大节（春节、冬至、皇帝诞辰）前作为文武百官演习朝拜天子礼仪的场所，有时也作为官僚子弟袭封前学习朝觐礼仪的地方。——《南京明清建筑》
764,越城,越城,,城池,人物姓氏,秦淮区中华门外西街地区,唐代,唐代,118.7727,32.013,《景定建康志》,陆机、王茂、周元,建康、秦淮、金陵、秦淮河、长干里、京城、秣陵、石头城、冶城、中华门、淮水、建康城、建业、台城、集庆,,"越城在唐代已经被毁，因此在唐代描述中多有怀古之句
隋兵平陈后，越城可能亦同时被毁废，此后未能再建，因此，唐人许嵩已称它是“废越城”了。——《南京明清建筑》"
1444,西华门,西華門,,城门,方位与位置,依据《明代南京皇城宫城复原图》定位,清朝,清朝,118.8081,32.0422,,太平,东华门、西安门、午门、皇城、明故宫、玄武、玄武门、北安门、奉天门、右掖门、南门、左掖门、东安门、台城、武英殿、玄津桥、中山、洪武门、外五龙桥、行宫、中山东路、承天门、端门、文华殿、逸仙桥,,"皇城包在宫城之外，亦开六门，与宫城六门相对，南为洪武门，其东侧为长安左门，西侧为长安右门，东曰东华门，西曰西华门,北曰元武门。——《南京明城墙》"
465,国子监,國子監,,衙署,,鸡笼山下,清朝,清朝,118.7913,32.062,,,,,
1148,倪塘,倪塘,,水体,江宁区方山西北,人物姓氏,元代,元代,118.869,31.9623,,方山、蒋山,方山、蒋山、五城,,
381,天池,天池,,水体,,据《大明一统志》，今址暂不可考,明代,明代,,,,,,,方山火山是1000万年前火山。1000万年以来不断风化，原始火山口已剥蚀了。这里仍存有一个低洼地积水，其周围均为玄武岩。从玄武岩裂隙中的水汇集在这里，人们称方山天池。池中的水为玄武岩裂隙泉水，这也是大自然创造了一个泡饮方山紫雾茶的好水 。
179,新河,新河,,水体,,据《景定建康志》，今址暂不可考,宋代,宋代,,,,,秦淮、江东门、水西门、秦淮河、中山、大胜关、板桥、雨花台、光华门、龙江关、三山、燕子矶、运渎,,
30,高阳,高陽,,行政区划,,据《建康实录》，今址暂不可考,六朝,六朝,,,,,,,晋永嘉元年，陈敏乱，以琅琊王睿为都督扬州军事，镇建业。至建兴间，受愍帝诏，即晋王位，改元建武。明年，愍帝凶闻至，始即帝位，建都。避愍帝讳，改建业为建康，宫城仍吴之旧。置琅琊郡，领临沂、即丘、阳都、怀德八县，侨置淮南、魏、广州、高阳、棠邑、南东海、南东平、南兰陵八郡。——《金陵世纪金陵选胜金陵览古》
224,定林寺,定林寺,,寺观,动植物,江宁区方山,宋代,宋代,118.8659,31.9042,,方山、蒋山、刘勰、王安石,方山、钟山、蒋山、建康、昭文斋,王安石拜访赞元、刘勰梦孔子、刘勰出家,"定林寺摩崖有多处宋代著名文人题刻
定林寺摩崖题刻南宋题刻。位于南京市钟山南麓紫霞洞定林寺遗址附近壁崖上。共有南宋陆游、韩无咎等人题记石刻5方。陆游题记原位于王安石读书处的昭文斋壁上，宋乾道元年至六年间（1165-1170）寺僧移刻于山崖。——《南京文化志下册》"
49,太极殿,太極殿,,宫殿,,据《建康实录》，今址暂不可考,六朝,六朝,,,,,西堂、建康、建康宫、东堂、台城,武帝宴群臣,"六朝时期，太极殿是举办祭祀、登记等皇家事务的宫殿。
雅遂与司徒王导拥帝于太极殿，荀崧、褚翼等侍左右。——许嵩《建康实录》"
162,荆山,荊山,,山脉,动植物,溧水县西南,宋代,宋代,119.1652,31.6886,,,,,
740,塔寺,塔寺,兴严寺,寺观/祠庙,城市与建筑,运渎东岸，南直竹格渡,六朝,六朝,118.7758,32.0313,,,,,兴严寺在竹格渡北，本谢尚宅，尝舍为寺。——《金陵世纪金陵选胜金陵览古》
427,通济门,通濟門,,城门,愿景,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.7955,32.0264,,太平、方山、江总,光华门、中华门、太平门、水西门、秦淮、京城、聚宝门、中山、三山、中山门、秦淮河、金川门、三山门、定淮门、瓮城、仪凤门、朝阳门、东水关、清凉门、石城门、白下、南门、雨花台、方山、汉西门、皇城、金山、九龙桥、武定门、兴中门、钟阜门、青溪、神策门、中央门、大中桥、明故宫、挹江门、护城河、小东门、玄武、玄武门、和平门、淮水、金陵、西水关、长江、淳化镇、中正街、鼓楼、石头城、白下路、北门桥、高桥、高桥门、双桥、西安门,光华门、中华门、太平门、水西门、秦淮、京城、聚宝门、中山、三山、中山门、秦淮河、金川门、三山门、定淮门、瓮城、仪凤门、朝阳门、东水关、清凉门、石城门、白下、南门、雨花台、方山、汉西门、皇城、金山、九龙桥、武定门、兴中门、钟阜门、青溪、神策门、中央门、大中桥、明故宫、挹江门、护城河、小东门、玄武、玄武门、和平门、淮水、金陵、西水关、长江、淳化镇、中正街、鼓楼、石头城、白下路、北门桥、高桥、高桥门、双桥、西安门,清军占领南京后，将全城一划为二治之。从通济门起，以大中桥北河为界，东为兵房，西为民舍。原住城东和城北的居民“日夜搬移，提男抱女，啼哭满路”，腾出的地方让给入城的清军驻防。顿时，“西南民房一椽值一金。”这是南京历史上的一次城内大规模移民，通济门成了“坐标点”。
123,溧阳县,溧陽縣,,行政区划,,据《元和郡县志》，今址暂不可考,唐代,唐代,,,,,溧水,,
858,高桥,髙橋,,桥梁,人物姓氏,高桥门外,宋代,宋代,118.8478,31.997,,,,,
466,太仓,太倉,,衙署,,据《上江两县志》，今址暂不可考,清朝,清朝,,,,,扬州,,"清代太仓常作为文人游记中的地点出现。
《太仓过王文肃旧第》
阎尔梅
子夜歌残玉树尘，江南花月变金鳞。
孤帆直挂沧洲去，不吊乌衣巷里人。"
455,东阁,東閣,,宫殿,,据《上江两县志》，今址暂不可考,清朝,清朝,,,,,,,"清代东阁曾在诗人笔下被提及，是重要的地理位置。比如曾国藩曾作《次韵何廉昉太守感怀述事十六首》。
《次韵何廉昉太守感怀述事十六首》
曾国藩
二月长安春姑归，觚棱回首梦魂飞。
宫鸦掠日槐阴瘦，厩马嘶风柳絮肥。
东阁赐茶双凤阙，西效扈跸九龙旗。
十年苦忆钧天奏，老大真怜未拂农。"
212,周处台,周處臺,,古迹,人物姓氏,周处读书台位于南京市秦淮区江宁路西侧，俗称周处台。,宋代,宋代,118.7865,32.013,,,,余宾硕作《金陵览古》记赤石矶景观、周处杀虎、芥子园被毁灭遗忘、周处浪子回头,"宋代诗人罗必元曾登周处台怀古赋诗
《周处台》
罗必元
周处豪雄亦可人，勇於迁善罕前闻。
区区未说除蛟虎，一念中间舜跖分。"
2216,竹园寺,竹園寺,,古迹,动植物,竹园寺,清朝,清朝,118.8612,32.0557,,,,,"竹园寺是南京名胜，常有文人游玩。
《寄天衣净天镜长老其二》
袁华
竹园寺里昔曾游，弹指流光十六秋。
诸刹每传新学起，一箪犹为故山留。
文词雅正推裴柳，诗句清妍属澈休。
湖海老成凋谢尽，杖藜何日浙江头。"
480,新街口,新街口,,道路,交通,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.7787,32.0439,,,中山、鼓楼、中山路、山西路、大行宫、夫子庙、汉中路、行宫、中路、中山东路、中山北路、明故宫、上海路、中山门、交通银行、牌楼、中华门、北门桥、金陵、金山、三牌楼、西康路、雨花台、长江、中央商场,柳中亮兄弟创世界大戏院、世界大戏院开幕、新街口中央游艺场建成开幕、新街口建立总理铜像开始动工、各界抗敌后援会主办的《抗敌漫画展览》展出、《南京新报》记者俱乐部发起主办漫画竞赛会、伪国民政府为庆祝中日条约签订、黄洁举行书展、《古今名人书画展览会》揭幕。、唐英伟举行个人木刻展览、钮因棠个人油画展在新街口社会服务处举行、丰子恺画展在新街口社会服务处举行、大戏院建成并开业、金山等领导的上海40年代剧社抵南京、香鹤书局南京分号开业、全市五个公营剧场成立联合办公室、南京市文化局筹建的新街口等竣工、《金陵春暖》在新街口开拍、南京地名源流与文人作品有关,"新街口地名在清朝时出现
清朝同治年间，新街口地名出现，最初为糖坊桥至明瓦廊之间的一条街道。——百度百科"
428,聚宝门,聚寶門,,城门,愿景,中华门,清朝,清朝,118.7767,32.014,《洪武京城图志》,太平,中华门、三山、通济门、报恩寺、三山门、太平门、京城、金陵、神策门、朝阳门、仪凤门、石城门、镇淮桥、南门、雨花台、清凉门、水西门、长干里、中山、金川门、钟阜门、白下、中山门、定淮门、和平门、内桥、北门桥、秦淮、玄武、海陵、汉西门、聚宝山、上元、挹江门、江宁县、长干桥、长乐渡、朱雀航、大中桥、鼓楼、光华门、洪武门、秣陵、三山街、上元县、瓮城、武定桥、长干寺,中华门、三山、通济门、报恩寺、三山门、太平门、京城、金陵、神策门、朝阳门、仪凤门、石城门、镇淮桥、南门、雨花台、清凉门、水西门、长干里、中山、金川门、钟阜门、白下、中山门、定淮门、和平门、内桥、北门桥、秦淮、玄武、海陵、汉西门、聚宝山、上元、挹江门、江宁县、长干桥、长乐渡、朱雀航、大中桥、鼓楼、光华门、洪武门、秣陵、三山街、上元县、瓮城、武定桥、长干寺,1865年夏天，李鸿章从江苏巡抚升为代理两江总督，来南京就任，便把他的参谋马格里以及洋炮局的器材和机构一起带到南京，在聚宝门（今中华门）外扫帚巷东首西天寺的废墟上，建造厂房，办起了金陵机器制造局。——《名人与南京》
1350,钟楼,鐘樓,,宫殿,政治军事,南京城中，鼓楼西侧,明代,明代,118.773,32.0607,,,鼓楼、大钟亭、汇文书院,,"钟楼建于明代，早年间已坍塌，后于清代重建。
亭在鼓楼之东无量庵傍，高丈余。按洪武十五年建钟楼于坐字铺。楼今废，鸣钟立钟并亡，惟卧钟存，清江宁藩司许振祎，将卧钟掘起，悬于大钟亭，今存。"
67,卫尉,衛尉,,衙署,,据《建康实录》，今址暂不可考,六朝,六朝,,,,,左卫,,"六朝时期官署。
西南卫尉府，南宗正寺、太仆寺、大弩署、脂泽库，更南卽太史署、太府寺。——许嵩《建康实录》"
18,新林浦,新林浦,,水体,城市与建筑,南京市西南,六朝,六朝,118.7215,31.9498,,,白鹭洲、板桥,“金陵十景”,"南北朝著名的风光，“金陵十景”之一。
《之宣城郡出新林浦向板桥》
谢朓
江路西南永，归流东北骛。
天际识归舟，云中辨江树。
旅思倦摇摇，孤游昔已屡。
既欢怀禄情，复协沧洲趣。
嚣尘自兹隔，赏心于此遇。
虽无玄豹姿，终隐南山雾。"
115,清凉寺,清涼寺,,寺观/祠庙,山川,清凉山公园内,唐代,唐代,118.7551,32.0507,,,金陵、清凉山、石头山、金陵邑城、避暑宫、幕府山、秦淮、石头城,“南都可登临处”、金陵五种“三绝”、金陵名胜20景,"唐代清凉寺是文人体悟禅意的重要地点
《游清凉寺》（节选）
唐彦谦
白云红树路纡萦，古殿长廊次第行。
南望水连桃叶渡，北来山枕石头城。"
777,白下亭,白下亭,,园林,城市与建筑,幕府山南麓,唐代,唐代,118.7774,32.1166,,李白,金陵、大中桥、白下桥,,"白下亭是唐代胜迹，有很多脍炙人口的诗句
大中桥北，旧有白下亭，为金陵胜迹之一。李白有“小子别金陵，来时白下亭”和“驿亭三杨树,正当白下门”之佳句。桥边旧有白下寺，现已不存。——《南京明清建筑》"
41,建康宫,建康宮,,宫殿,,据《建康实录》，今址暂不可考,六朝,六朝,,,《建康实录》,谢安,台城、太初宫、太极殿,,六朝时期，王室宫殿极度奢靡繁华。至成帝缮苑城，作新宫，穷极伎巧，侈靡殆甚。宋、齐而下因之，称为建康宫。——张敦颐《六朝事迹编类》
1911,将军庙,將軍廟,,祠庙,人物姓氏,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.7659,32.0759,,,,,"将军庙是南京明清时期风格的建筑，具有研究意义。
东晋豫章太守梅赜家在岗下，因有功于晋，后立庙于此，名梅将军庙，故又称梅赜岗。——《南京明清建筑》"
401,大报恩寺,大報恩寺,,寺观/祠庙,史实传说与作品,秦淮区中华门外,明代,明代,118.7775,32.011,《金陵梵刹志》,玄奘,宝塔、天禧寺、长干寺、金陵、中华门、长干里、雨花路、京城、秦淮、秦淮河、天界寺、中山,宝塔、天禧寺、长干寺、金陵、中华门、长干里、雨花路、京城、秦淮、秦淮河、天界寺、中山,大报恩寺是南京历史最为悠久的佛教寺庙，千余年间，屡废屡建，寺名亦屡屡更易。明朝永乐六年（1408年）毁于火，永乐十年（1412年）明成祖朱棣敕工部于原址重建，明成祖以纪念明太祖和马皇后为名，命工部于此重建大报恩寺及九层琉璃宝塔，按照宫阙规制，征集天下夫役工匠十万余人，费用计钱粮银二百五十万两、金钱百万，历时十九年始完工。“依大内图武，造九级五色琉璃塔，曰第一塔，寺曰大报恩寺”。
451,高斋,高齋,,居民区,,据《上江两县志》，今址暂不可考,清朝,清朝,,,,,,,"清朝，高斋多为文人诗人笔下的描写对象。
人中林下现，名自有闲忙。建业红尘热，栖霞白石凉。倚身柽几稳，洒面瀑流香。不似高斋里，花连竹影长。——《摄山志》"
705,方山埭,方山埭,,水利设施,山川,方山西南侧,六朝,六朝,118.8722,31.8427,,,溧水、东庐山、大江、秦淮、华山、淮水、建康,,"六朝时，方山埭曾是起兵之地方
《建康实录》有“东吴赤乌八年（245)，使校尉陈勋发戍兵于方山南，绝淮立埭，号方山埭”的记载——《南京地名源》"
22,后渚,後渚,,水体,方位与位置,南京市西南,六朝,六朝,,,,,,,"六朝时，与许多工程在附近兴建。
九年，新作缘淮塘，北岸起石头迄东冶，〔七二〕南岸起后渚篱门，连于三桥。——许嵩《建康实录》"
66,右卫,右衛,,衙署,,据《建康实录》，今址暂不可考,六朝,六朝,,,,,左卫、羽林左卫,,"六朝时期官署。
泰始七年，征赴京师，拜散骑常侍、太子左卫率。明帝崩，诏为右卫将军，加兵五百人。与尚书令袁粲、禇渊等共掌机事。——许嵩《建康实录》"
984,佛窟寺,佛窟寺,崇教寺,寺观,宗教,祖堂山,宋代,宋代,118.7411,31.8915,,,牛首山、牛头山,,"牛首山上的佛寺。
宋太平兴国二年（977年)改崇教寺。——《南京明清建筑》"
94,牛头山,牛頭山,牛首山,山脉,景观描述,牛首山,唐代,唐代,118.7373,31.9144,,,牛首山、金陵、建康、幽栖寺、佛窟寺,指山为阙,"在唐代，文人常登临牛头山，感慨王朝的战乱场景
《登牛头山亭子》（节选）
杜甫
路出双林外，亭窥万井中。
江城孤照日，山谷远含风。"
690,雁门山,雁門山,,山脉,城市与建筑,雁门山,六朝,六朝,118.9985,32.0651,,,建康,,"有温泉，山北有陈文帝陵寝。
石迈《古迹类编》“雁门山北有汤泉，去都七十里，用以洗浴治疮，饮之已肠胃冷疾，齐时有老沙门语紴村人云，‘此镬汤之冲也’。”——《南京地名源》"
82,庄严寺,莊嚴寺,,寺观/祠庙,愿景,南京市西南,六朝,六朝,118.7756,32.0314,,谢尚,,,"六朝时期名寺，融汇魏晋风流和牛头禅的智慧。
辛酉，上幸大庄严寺舍身；壬戌，群臣表请还宫。——《资治通鉴》"
191,丹阳郡,丹陽郡,,古迹,城市与建筑,长乐桥东,宋代,宋代,,,,,秣陵、建康、扬州、石头城、金陵、长乐桥、建业、秣陵县、溧水、江宁县、东府城、淮水、秦淮,,"丹阳郡在宋代是一个为官治所，诗文多以抒发官场情感有关
《滕子京魏介之二同年相访丹阳郡》（节选）
范仲淹
长江天下险，涉者利名驱。
二公访贫交，过之如坦途。"
857,长干桥,長幹橋,,桥梁,方位与位置,秦淮区中华门外,宋代,宋代,118.7759,32.0129,,,中华门、秦淮、南门、金陵、聚宝门、镇淮桥、北门桥,,南宋咸淳五年（1269），户部尚书马光祖重建，更名长安桥，为五孔石拱桥。——百度百科
78,建初寺,建初寺,,寺观/祠庙,史实传说与作品,秦淮区大报恩寺,六朝,六朝,118.7767,32.0086,,康僧会,大市、建业、建康、金陵、报恩寺、长干里,僧人康僧会访建业，江南佛法始兴、建初寺,"江南首寺，中国第二座寺庙，大报恩寺前身。
帝崇佛教，以江东初有佛法，遂于坛所立建初寺。——许嵩《建康实录》"
1867,祠堂,祠堂,,祠庙,宗教,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.7678,32.0331,,太平、孙星衍,中山,,祠堂巷位于中山东路西段南。东起延龄巷，西至江苏人民广播电台宿舍。清光绪《江宁省城图》已有此巷，但未标地名。民国《首都志》和民国财政部盐务稽核总所资料，均载有此巷名。民间传以巷内一方姓祠堂得名。——百度百科
717,青溪中桥,青溪中橋,,桥梁,山川,太平南路南,六朝,六朝,118.7847,32.0286,,,四象桥、湘宫寺,,"六朝时，青溪中桥与其他六座桥和清溪组成金陵四十八景之一的七桥九曲
古青溪阔五丈，深八尺，自三国孙吴之后，陆续在其上建了七座大桥，分别是东门桥、尹桥、鸡鸣桥、募士桥、菰首桥、青溪中桥、青溪大桥。——《南京明清建筑》
七桥（东门桥、尹桥、鸡鸣桥、募士桥、菰首桥、青溪中桥、青溪大桥）九曲，是金陵四十八景之一。——《南京地名趣话》"
798,古御街,古禦街,,道路,政治军事,中华路中北段、洪武路南段,宋代,宋代,118.7801,32.028,,,,,南宋都城临安铺设的一条主要街道，皇帝于“四孟”（孟春、孟夏、孟秋、孟冬）到景灵宫（今武林路西侧，供奉皇室祖先塑像的场所）朝拜祖宗时的专用道路。
14,燕子矶,燕子磯,,山脉,动植物,燕子矶,六朝,六朝,118.8119,32.1484,,史可法、太平、陶行知,栖霞、长江、观音门、中山、金陵、幕府山、三台、孝陵、雨花台、莫愁湖、钟山、玄武、玄武湖、金山、龙潭、牛首山、秦淮、秦淮河、清凉山、鼓楼、灵谷寺、上新河、孝陵卫、新河,金陵剧社公演、区属管辖的影剧场及电影放映队收归南京市影剧公司管理、南京博物院清理王兴之夫妇墓出土大量青瓷器、吴敬梓作23首《金陵景物图诗》、金陵名胜20景、“南都可登临处”、南京新闻文化部门评选“新金陵四十景”,"六朝时期石刻集大成者的存地。
《燕子矶梁失名辅国将军墓志》的志文为正楷书写，端庄秀丽，工整清晰，是现存六朝墓志中铭文最多的一块。——《南京的六朝石刻》"
2443,虎跑泉,虎跑泉,,山脉,史实传说与作品,牛首山附近,清朝,清朝,118.7366,31.9108,,,白龟池,,"牛首山上寺庙中的水源，清代已经被改建为井，因为清澈而成为寺内僧人引用的水。
门内二井，其左曰白龟池，右曰虎跑泉。后僧以其险，更甃为井。而虎泉尤清洌，寺众汲于此。——《金陵梵刹志中》"
783,淳化镇,淳化鎮,,行政区划,愿景,淳化街道,宋代,宋代,118.929,31.9349,,方山,方山、汤山、牛首山、江宁县、龙潭、秣陵、秣陵关、大胜关、湖熟镇、高桥、高桥门、刘家、栖霞、通济门、光华门、江宁镇,,北宋间，因其地 遮蔽句容，应接京口（今镇江市），形势冲要，且人口 众多，商业、手工业繁盛，遂建镇，以宋太宗年号“淳 化”二字而得镇名。亦名淳化关。——《南京地名大全》
417,江总宅,江總宅,,古迹,,据《大明一统志》，今址暂不可考,明代,明代,,,,,青溪,青溪,"明朝时，诗人在关于南京的诗中有时会提到江总宅，如：
《金陵》
徐献忠
南朝王气昔分明，盛业千年始作京。
春树久迷江总宅，寒江长傍秣陵城。
三山落日明秋练，六苑轻风动早莺。
闻说高皇初驻跸，阅江麾盖定专征。"
930,东府城,東府城,,古迹,城市与建筑,通济门附近,宋代,宋代,118.7961,32.0253,,,扬州、秦淮、青溪、石头城、建康、淮水、骠骑航、秦淮河、台城、未央宫、丹阳郡、丹阳郡城、江都,,东府城是古城名，简称东城。为东晋、南朝宰相兼扬州刺史的府第所在地，因在扬州旧城（今南京）以东得名。每建康有事，必置兵镇守。——百度百科
210,劳劳亭,勞勞亭,,园林,政治军事,"南京市西南,古新亭南",宋代,宋代,118.7758,31.9774,,,,众多文人题咏金陵胜迹,"劳劳亭置于金陵，为古代送别之所。
《劳劳亭》
马之纯
谁把劳劳目此亭，从来于此送人行。
三杯别酒倾桑落，一曲离歌唱渭城。
此到伊边还几日，不知何日是归程。
分携更复凭高望，满目青山万叠横。"
703,横塘,橫塘,,水体,景观描述,南京市西南,六朝,六朝,118.7566,32.0375,《吴都赋》,,秦淮、秦淮河、栅塘,,"秦淮河口的长堤，东吴时期开始就是非常繁华的商业区。
在石头山筑石头城，置烽火台。并沿秦淮河口筑长堤，名为“横塘”。——《南京史话上》"
571,扬子江,揚子江,,水体,山川,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.7312,32.102,,,金山、护城河、京城、长江,电影事业指导委员会召开第四次会议、南京扬子江新年音乐会在龙江体育馆举行,"扬子江是长江从南京以下至入海口的下游河段的旧称
《念奴娇渡扬子江作》
吴尚憙
大江东去，好乘风破浪，扁舟一叶。滉漾锦帆争渡险，滚滚怒涛如雪。
香雾微茫，寒波浩渺，都助襟胸阔。水窗闲眺，辽天大地皆彻。
犹若身在冰壶，如萍似絮，转透愁千叠。此去乡关，知渐远、心与江流同咽。
隐现金焦，去来潮汐，掩映浮双阙。海门一调，离怀歌向明月。"
155,石城山,石城山,,山脉,城市与建筑,清凉山,宋代,宋代,118.75,32.0516,,,金陵、清凉山,,"宋代诗人笔下的石城山，是景色优美，富有禅意的地点
《游石城山》
吕声之
祗因寻胜到林泉，四抱回峰万景连。
僧过不知山隐寺，客来方见洞开天。"
59,西池,西池,,水体,方位与位置,据《建康实录》，今址暂不可考,六朝,六朝,,,,,西苑,,"晋朝丞相覆杯西池劝谏帝王不要因久废政而闻名。
晋元帝中兴，颇以酒废政，丞相王导奏谏，帝因覆杯于池中，以为诫。杨修有诗云：「金杯覆处旧池枯，此后还曾一醉无。东晋中兴股肱力，元皇亦学管夷吾。」今城北三里西池是也。——许嵩《建康实录》"
514,明故宫,明故宮,,宫殿,城市与建筑,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.8127,32.044,《明史》,太平、朱元璋、方孝孺,中山、京城、西华门、皇城、午门、金陵、西安门、中山东路、孝陵、中山门、午朝门、护城河、东华门、太庙、外五龙桥、鼓楼、通济门、新街口、古物保存所、金山、御道、光华门、秦淮、社稷坛、博物院、青溪、市政府、中山路、北安门、奉天门、栖霞、秦淮河、竺桥、朝天宫、大行宫、建设委员会、西华门大街、行宫、玄津桥,,"清代，明故宫衰败，光彩不再。
《再过明故宫》
玄烨
楼台金粉已沈销，不独诗人说六朝。
月落宫垣春寂寂，经过惟叹草萧萧。"
328,应天府,應天府,,衙署,政治军事,南京市,明代,明代,118.7662,32.0124,,朱元璋、太平,集庆、上元、集庆路、京城、金陵、建康、高淳、夫子庙、国子监、江宁县、江浦、溧水、秦淮、建康府、秣陵、上元县、天界寺、南京工部、南京礼部、秦淮河、三山,,"应天府（今南京）。1364年，朱元璋在此称吴王，分封百官。1368年，朱元璋称帝，国号大明，建元洪武，以应天府为南京，开封为北京。
关于洪武年间南京何时称“都”及“京师”，后人大都引《明史》为据：洪武“十一年正月改南京为京师。”“太祖丙申年三月曰‘应天府’。洪武元年八月建都，曰南京。十一年曰京师。永乐元年仍曰‘南京’。”其实，公元1368年元月，朱元璋把应天城作为新朝的“都城”、“京师”，已经成为事实，也为明初文献及朱元谭多份诏告中所运用。如：“吴元年二月丁未朔，拓都城讫工……”；特别是洪武元年正月，朱元璋在《即位诏》中所称“……立太社、太稷于京师”，实际上已经宣布了南京的京师地位；洪武元年正月戊寅，“方国珍至京师人见……”。——《南京明故宫》"
922,景阳井,景陽井,,水利设施,城市与建筑,鸡鸣寺内,宋代,宋代,118.7906,32.0632,,,胭脂井、台城,,"宋代，景阳井仍作为讴歌男女情谊或讽古谏今的重要意象。
《景阳井》（节选）
王元甫
动地隋兵至，君王尚晏安。
须知天下窄，不及井中宽。
楼外锋交白，溪边血染丹。
无情是残月，依旧照阑干。"
436,秘阁,秘閣,,宫殿,,据《上江两县志》，今址暂不可考,清朝,清朝,,,,,,,"明故宫内藏书画的地方，清代时依然保存前代名画。
秘书省，也在禁中，位置大约亦在宫西，故亦有西省之称。秘书省内有藏书画的秘阁。——《南京城墙志》"
125,镇淮桥,鎮淮橋,,桥梁,愿景,中华门北,宋代,宋代,118.7768,32.0154,《至正金陵新志》,,朱雀航、南门、秦淮、中华门、金陵、聚宝门、武定桥、长乐渡、朱雀桥、内桥、淮水、秦淮河、建康、白下、斗门桥、浮桥、三山、三山门、卫桥、文德桥、武卫桥、西水关、长干桥、尊贤坊、北门桥、东水关、国子监、新桥、信府河,“十里秦淮”,镇淮桥始建于五代十国杨吴时期，至今已有一千多年的历史，是南唐御街直达南门外长干里必经之道，与南唐正宫宫门、虹桥（今内桥）、南门皆在南北一条中轴线上。宋时曾多次重建，南宋乾道五年（1169年）留守史正志重建时，加宽一丈；宝祐四年（1256年）桥圮，留守马光祖重修；两年后毁于火，又重建。——百度百科
1407,御道,禦道,,道路,政治军事,午朝门向南延伸至光华门,清朝,清朝,118.7826,32.032,,朱元璋,皇城、午门、承天门、洪武门、外五龙桥、太庙、御沟、端门、南门、明故宫、社稷坛、秦淮、秦淮河、光华门、都督府、督府、建康、中山,,"洪武门与承天门见的道路，两边有走廊。
洪武门至承天门之间为一条宽阔的御道，两边有长廊称千步廊。——《南京明清建筑》"
681,石头山,石頭山,,山脉,物产与经济,清凉山,六朝,六朝,118.7557,32.0513,,葛亮,金陵、清凉山、石头城、秣陵、钟山、秦淮、秦淮河、清凉寺、建康、长江、鸡笼山,,"东吴孙权以石头建城，也是南京开始成为“金陵”的起点。
史载汉建安十七年（212）孙权徙治秣陵时，在南京石头山筑城，名“石头城”。因历史久远，城已无存，唯有原石头山近江岸一侧仍有一段危崖，表面斑驳，俗称“鬼脸城”。——《南京文化志下册》"
584,贡院,貢院,,学校,政治军事,依据《陆师学堂新测金陵省全图》，补充1874年《上江两县志》、1908年《金陵杂志》定位,清朝,清朝,118.7857,32.0245,,太平,夫子庙、西街、秦淮、秦淮河、东街、金陵、桃叶渡、建康、利涉桥、牌楼、姚家巷、龙门街、东牌楼、青溪、文德桥、建康路、市政府、白下、武定桥、东水关、淮清桥、状元境,以公务员组成的京剧票房社举行大会、底春光话剧团曾在贡院街飞龙阁演出、“江南贡院历史陈列馆”建成开放、洞天电影院开业、全安清音茶社开业、南京国际联欢在贡院西街45号举行,"清代江南贡院为苏皖学子进行乡试的场所，它与北京的顺天贡院同享盛名，分别称为“南闱”和“北闱”。
清代江宁为江南的政治、经济、军事、文化中心，贡院仍为乡试场所。从道光年间开始，经数度修葺扩建，至光绪年间规模庞大，盛况空前。当时考生号舍(即考生日间考试、夜间住宿之所）多达20664间，可同时容纳二万余名考生参加考试。清代江苏、安徽两省合称江南省，江南贡院便是苏皖学子进行乡试的场所，它与北京的顺天贡院同享盛名，分别称为“南闱”和“北闱”。——《南京明清建筑》"
