事件id,事件名称,朝代,时期,年号,年份,事件简介,事件内容,检索词,事件类别,特征类别,一级地点,二级地点,相关人物,相关作品
11,陈文述居南京作三百多首诗,清,清,嘉庆,,陈文述居南京作三百多首诗,而嘉庆年间的钱塘人陈文述，居留南京月余，竟作诗三百多首，涉及金陵旧迹近三百处，虽然诗序中摘引旧书煞费功夫，但其诗多不涉当时景物，一味咏史怀古，强做感慨沧桑状，遂致沦为恶札。,陈文述,作品事件,文人+地点+作品,南京,,陈文述,
12,易顺鼎作《金陵杂感》20首,清,清,光绪,1875年,易顺鼎途径南京一日之间作《金陵杂感》20首,还有比陈氏更快捷的诗才，光绪元年（1875）易顺鼎中举，北上应试途经南京，冒雪骑驴于城中遍访六朝及南明遗迹，一日之间竟成《金陵杂感》七律20首！,易顺鼎,作品事件,文人+地点+作品,南京,,易顺鼎,《金陵杂感》
13,吴敬梓作23首《金陵景物图诗》,清,清,"乾隆,康熙","1753年,1666年",吴敬梓因“王山人”所绘图而作23首《金陵景物图诗》,《儒林外史》的作者吴敬梓，在乾隆十八年（1753），也就是他去世前一年，曾写过23首《金陵景物图诗》，记冶城、杏花村、燕子矶、谢公墩、凤凰台、莫愁湖、凭虚阁、青溪、雨花台、琉璃塔、灵谷寺、桃叶渡、天印山、观音山、幕府山、乌衣巷、东山、鸡笼山、太平堤、长桥、三宿岩、龙江关、钟山。从吴氏诗前小记中可知，其诗是因图而作，这一组图则绘于康熙五年（1666），画家是一位“王山人”；吴氏对此人像是有所了解的，现在是图和人都无从查考了。就连吴敬梓的这一组诗，也是在1956年才被从长沙发现出来，而且好像也不应该只有23首，当是24首，或者就是40首。吴氏在数十年后得见“王山人”所绘的这些图，依图作记吟诗，他在小记中介绍景观位置、来历变化，而吟咏则多乃眼前景物，即涉怀古，亦属泛泛，非但没有怀念前朝的意思，而且颇有“颂圣”的词句了。,吴敬梓,作品事件,文人+作品,金陵,冶城、杏花村、燕子矶、谢公墩、凤凰台、莫愁湖、凭虚阁、青溪、雨花台、琉璃塔、灵谷寺、桃叶渡、天印山、观音山、幕府山、乌衣巷、东山、鸡笼山、太平堤、长桥、三宿岩、龙江关、钟山,吴敬梓、王山人,《儒林外史》、《金陵景物图诗》
14,“金陵四十景”发展为“金陵四十八景”,现当代,现当代,"乾隆,宣统;",,“金陵四十景”发展为“金陵四十八景”，徐上添画《金陵四十八景》,大约在乾隆年间，“金陵四十景”发展成为洋洋大观的“金陵四十八景”。现在还能看到一种清代宣统二年（1910）刊行的南京人徐上添所画《金陵四十八景》图册，1990年，南京古旧书店曾据旧本影印出售。其所列48景：莫愁烟雨、祈泽池深、雨花说法、天界招提、凭虚远眺、永济江流、燕肌夕照、獅岭雄观、石城霁雪、钟阜晴云、龙江夜雨、牛首烟岚、珍珠浪浦、北湖烟柳、东山秋月、虎洞明曦、冶城西峙、赤石片矶、清凉问佛、嘉善闻经、杏村沽酒、桃渡临流、青溪九曲、凤凰三山、达摩古洞、甘露佳亭、长干故里、鹭洲二水、化龙丽地、来燕名堂、楼怀孙楚、台想昭明、长桥选妓、三宿名崖、祖堂振锡、幕府登高、报恩寺塔、神乐仙都、鸡笼云树、灵谷深松、秦淮渔唱、天印樵歌、商飚别馆、谢公古墩、献花清兴、木末风高、栖霞胜境、星岗落石。每幅上各有简短题记，介绍景点来龙去脉。据说民国年间还曾流传一种彩色的《金陵四十八景图》，如今亦无所见了。,金陵四十八景,作品事件,文人+作品+现象,金陵,,徐上添,《金陵四十八景》、《金陵四十八景图》
15,陈作仪作《金陵四十八景》,现当代,现当代,,,陈作仪作《金陵四十八景》等南京景观作品,20世纪初，陈作霖之弟陈作仪退隐于南京城西，据说曾作《楚南宦游西城十六景》和《金陵四十八景》，“重墨干皴，方劲古黝”，惜都不曾寓目。我只购得其晚年所绘《凤叟八十年经历图记》的影印本，其中多关涉南京景观者，如燕矶望晓、雨花寻石、秦淮放舟、鸡笼采菊、北湖二游、灵谷补松、扫叶登楼、桃渡寻诗、莫愁赏夏、三台探洞、清凉拜佛、半山逭暑、钟阜愁云、栖霞寻碑、逸园艺菊、愚园一角等，也保留下了百年前的南京风物旧貌。,陈作仪,作品事件,文人+作品,南京,,陈作霖、陈作仪,《楚南宦游西城十六景》、《金陵四十八景》、《凤叟八十年经历图记》
16,民国版《金陵四十八景图册》与乾隆版48景比较,现当代,现当代,乾隆;,1946年,民国徐行敏所作《金陵四十八景图册》与乾隆版48景比较,民国三十五年冬，六合人张葆亨又有《金陵四十八景题咏》，其所据《金陵四十八景图册》原系徐行敏所作，因战乱丢失了一半，后由收藏此图册的李诚斋将其补全。与乾隆年间的48景相比，有25景全同，此外景点相同而景名略异的有21种，只减去了原来的“北湖烟柳”和“台想昭明”，改换为“太平堤畔”和“周处书台”二景。其实此时“北湖烟柳”犹存，不失为金陵一景，而诸如祈泽寺、天界寺、永济寺、龙江关、虎洞、嘉善寺、杏花村、凤凰台、达摩洞、甘露寺、长干里、化龙亭、孙楚楼、长桥、报恩寺塔、神乐观、商飚馆、谢公墩、落星岗等处，均已面目全非，更无所谓风光名胜。,金陵四十八景,作品事件,文人+作品+现象,金陵,祈泽寺、天界寺、永济寺、龙江关、虎洞、嘉善寺、杏花村、凤凰台、达摩洞、甘露寺、长干里、化龙亭、孙楚楼、长桥、报恩寺塔、神乐观、商飚馆、谢公墩、落星岗,张葆亨、徐行敏、李诚斋,《金陵四十八景题咏》、《金陵四十八景图册》
25,白鹭洲公园名出自李白《登金陵凤凰台》,现当代,现当代,,1924年,白鹭洲公园名出自李白《登金陵凤凰台》,据说1924年修葺原鹫峰寺遗址时，在断墙残垣中发现李白《登金陵凤凰台》诗碑，因将新建茶馆命名为“白鹭洲茶庐”。其时荒园水沼，亦确有黄芦白鹭，也能算名副其实。当时曾立有《白鹭洲茶庐建筑碑记》，记此一段故事，据说1971年南京大学吴新雷教授还见到过残碑，现在也不知下落了。此后园区内逐渐拓建，至1929年由南京市政府接管，正式辟为“白鹭洲公园”。所以现在园中还有一副抱柱联，写的是“此地为中山故苑，其名出太白遗诗”。,白鹭洲公园,作品事件,文人+作品+地点,南京,鹫峰寺、白鹭洲茶庐、白鹭洲公园,李白、吴新雷,《登金陵凤凰台》、《白鹭洲茶庐建筑碑记》
26,王世贞《弇州名园记》中记东园全景,明,明,,,王世贞《弇州名园记》中记东园全景,明代极盛之时的徐氏东园，王世贞《弇州名园记》中曾有详尽的描写，所记景物，进园之初有心远堂，前有月台，后枕小池，与小蓬莱相对；小蓬莱“山址潋継，没于池中，有峰峦洞壑亭榭之属，具体而微”。又有“两柏异干合杪，下可出入”的柏门，入门左为一鉴堂，前枕大池；出堂后左转“则丹桥迤逦，凡五六折……桥尽有亭翼然，甚整洁，宛宛水中央，正与一鉴堂对”。入柏门绕池右行至水尽处，有“石砌危楼，缥渺牽飞云霄”。则整个园林是围绕着水池营构的，池中可以“画船载酒”，园中时时可见佳木。,徐氏东园,作品事件,文人+作品+地点,南京,东园,王世贞,
27,吴承恩游东园,明,明,,,吴承恩游东园,据说《西游记》的作者吴承恩在南京国子监读书时，曾游过东园，并以“淮海浪士”的身份拜访主人。,吴承恩,作者事件,文人+地点,南京,东园,吴承恩,《西游记》
28,黄裳《金陵杂记》记白鹭洲,现当代,现当代,,1947年,黄裳《金陵杂记》记白鹭洲,1947年，黄裳先生在《金陵杂记》中写到过兴而复废的白鹭洲，“里边也还有一二假山石，儿树春花，几处亭台”，“坐在沿河的一排茶馆里，前面正好有一树垂柳，已经抽出了绿条，在微风里荡，飘得那么柔宛……不远处即是那一堵城墙，在烟雨凄迷之中，只剩下一抹淡淡的影子。城头的雉堞，依稀可见”。“伫望城墙一角，在左首，露出一角小红庙宇，就是鹫峰寺。是六朝时的江令（总）遗宅。,白鹭洲,作品事件,文人+作品+地点,南京,白鹭洲、鹫峰寺,黄裳,
29,鹫峰寺因《板桥杂记》而出名,清,清,,,鹫峰寺因余怀《板桥杂记》而出名,古城墙下的鹫峰寺之所以出名，主要是因为余怀《板桥杂记》中那一句说明旧院长板桥位置的“回光、鹫峰两寺夹之”，回光寺早已泯灭无闻，便让鹫峰寺独擅其美了。,鹫峰寺,作品事件,文人+作品+地点,南京,鹫峰寺、旧院、长板桥、回光寺,余怀,《板桥杂记》
32,周处浪子回头,东吴,东吴;西晋,,,黄裳《金陵五记》记周处浪子回头故事不尽准确,"直到20世纪80年代，读黄裳先生的《金陵五记》，才知道儿时听说的周处故事，大有不尽准确之处。周处的父亲在世时做过东吴的鄱阳太守，不过死得早了些，则周公子的种种无赖行径和邻居的畏怯，便不能完全用其个性的顽劣来解释了。黄裳先生见过他的画像，印象极不佳，道真是豹头环眼，十足的流氓相。这位仁兄后来居然也封了侯。他先是在东吴做到东观令，更升为无难督、太常卿；晋灭吴，饱读诗书的周处又一次脱胎换骨，成了晋臣，晋散骑常侍平西将军周孝侯。他浪子回头时也早不是少年，而是30多岁的中年人。但他最后死得确实很壮烈，所以古人有不死东吴死西晋，城南可惜孝侯台的惋叹。
这里所说的孝侯台，就是地处南京武定门下老虎头四十四号的周处读书台，俗称周处台。",周处,典故,文人+作品+典故,南京,武定门、周处台,黄裳、周处,
33,余宾硕作《金陵览古》记赤石矶景观,清,清,康熙,,余宾硕作《金陵览古》记赤石矶景观,清康熙初年，余宾硕作《金陵览古》，曾极力铺陈那一带的自然景观：周处台“高接城巅，下俯赤石肌，左带芳园，高林秀木翘楚竞茂；右凭南岗，丹崖霞驳有若缋焉。城中万户千门，连甍鳞次，眉睫相承，一览悉尽”。赤石矶下“长河东来，绕城而过，有石枕流，可坐十许人；肌上人家种石榴花数千株，每盛夏花放，凭流回瞰，有若锦焉。都人鼓楫熙游，欢情自接”。,余宾硕,作品事件,文人+作品+地点,南京,周处台、赤石矶,余宾硕,
35,芥子园被毁灭遗忘,明,明;清,,,芥子园被毁灭遗忘,与周处台相关的另一处人文景观，是李渔的芥子园，“孙楚楼边觞月地，孝侯台畔读书人”，如今竟然泯灭得一点痕迹也没有了。按说李渔生活的年代比周处晚1400多年，距今不过300来年；芥子园的建筑艺术价值要远过于周孝侯的享堂；读过《默记》和《风土记》的人怎么也不会比读过小说《十二楼》、《连城璧》和看过传奇《风筝误》的人多，至于梅兰芳先生据此改编的京剧《凤还巢》，就更加脍炙人口了；芥子园被毁灭得如此干净，被遗忘得如此迅速，确实是耐人寻味的。,芥子园,作品事件,地点+作品,南京,周处台、芥子园,周处、李渔、梅兰芳,《默记》、《风土记》、《十二楼》、《连城璧》、《风筝误》、《凤还巢》
37,《儒林外史》、《白门食谱》中记夫子庙茶酒楼和茶食,现当代,现当代,,,吴敬梓《儒林外史》、张通之《白门食谱》中记夫子庙茶酒楼和茶食,南京茶馆多兼营小吃，且各家各有其拿手的品种，故而老南京人将各式甜咸点心统称“茶食”。天长日久，面点小吃竟喧宾夺主，成为某些茶馆的主业，秦淮小吃的名声也就传扬天下。有的茶馆更发展出特色菜肴，佐以香醪名酒，成为酒家。这茶、点、菜的三合一，大约要算夫子庙茶馆的一大特色。用老南京的口气说，便是“夫子庙茶酒楼”。吴敬梓《儒林外史》中，就已经写到这样的茶酒楼。当然，随着茶楼的兴衰、时代的变迁，特色小吃也在不断变化屮。民国年间张通之《白门食谱》中，曾写到全鹤美的醉蟹，问柳园的炒鱼片、煮豆腐，老宝兴的烤鸭与鸭腰，奇斋的拆烧肉，韩益兴的泡牛肚与泡羊肉，得月台的羊肉面，迎水台的油酥饼，东牌楼南口元宵店的软香糕、芝麻馅汤圆，北口稻香村的蝙幅鱼和麻醉糖于今多已无闻。,夫子庙茶酒楼,作品事件,文人+作品+地点,南京,夫子庙,吴敬梓、张通之,《儒林外史》、《白门食谱》
38,梁武帝四次“舍身”当和尚,南朝,六朝,,,梁武帝四次“舍身”到同泰寺当和尚,六朝时期，江南地区佛教大为盛行，帝王贵族争相舍宅为寺，梁武帝甚至四次“舍身”到同泰寺当和尚，一时间南京佛寺林立，所谓“南朝四百八十寺”并非诗人的夸张。,梁武帝,作者事件,文人+事件,南京,同泰寺,梁武帝,
39,明崇俨求取明征君碑,南朝,齐;梁;唐,,,明崇俨为纪念明僧绍向唐高宗李治求取明征君碑,今栖霞寺山门外右侧的明征君碑，即为纪念明僧绍而立。明僧绍的五世孙明崇俨是唐高宗李治的宠臣，为纪念其先祖，特向高宗求取了这一方“御碑”。碑文主要追述明僧绍不就朝廷征召、笃信佛教、舍宅为寺以及齐、梁两代相继在栖霞山大造佛像的经过，系高宗亲自撰写，高正臣书丹；篆书碑额“明征君碑”四字出王知敬手，碑后“栖霞”两大字相传系高宗所书。这是南京仅存的唐代名碑。,明征君碑,作品事件,官员+先贤+作品,南京,栖霞寺,明僧绍、明崇俨、李治、高正臣、王知敬,
40,韩熙载“英华书院”题刻传世,南唐,南唐,,,韩熙载“英华书院”题刻传世,据说韩熙载还有一件作品传世，就是现藏于江浦县的“英华书院”题刻，刻在一块已经断为两截的大青石上。,韩熙载,作品事件,文人+作品,南京,江浦县,韩熙载,
41,“三绝碑”的历史,南朝,梁;唐;宋;元;明;清;民国,,,“三绝碑”的来源与流传,时代相近的，似还有一方“三绝碑”，即梁代名僧宝志画像碑，现嵌于灵谷寺宝公塔前，因碑上所刻宝志像为唐代名画家吴道子所绘，像赞为李白所作、颜真卿所书，书、画、赞三绝而得名。赞曰：“水中之月，了不可取。灵空其心，寥廓无主。锦幛鸟爪，独行绝侣。刀齐尺梁，扇迷陈语。丹青圣容，何往何所。”据说碑始刻于唐代，宋末毁于战火。元代重刻时在碑的下方加上了赵孟頫所书的跋语及《宝公菩萨十二时歌》。明初因营建明孝陵将宝公塔迁至灵谷寺，宣德间寺遭火灾，碑随寺毁。成化十二年（1476）据拓本重刻，明末复毁于战火。清乾隆二十二年（1757）寺僧据旧拓本重刻，清高宗且书“净土指南”四字刻于碑之上端，后又被毁。现存三绝碑系国民政府1928年建阵亡将士公墓时据旧藏拓本重刻，文化大革命中遭破坏，文字图画均已模糊不清。,“三绝碑”,作品事件,作品+事件,南京,灵谷寺宝公塔,宝志、吴道子、李白、颜真卿、赵孟頫,《宝公菩萨十二时歌》
42,顾起元记金陵“五种三绝”,明,明,万历,,顾起元《客座赘语》记金陵五种三绝,按此碑流传虽算有绪，但明万历年间顾起元《客座赘语》记金陵五种三绝，则无此碑在内。顾记五种三绝为：瓦官寺宋戴安道手制佛像五躯，晋顾长康画维摩诘像一躯，晋义熙中师子国献玉佛，高四尺二寸，玉色洁润，形制殊特，殆非人工，称为三绝。清凉寺董羽画龙，李后主八分书，董霄远草书，称为三绝。灵谷寺晋张僧繇画大士像，李太白赞，颜鲁公《清臣书》，称为三绝。又考瓦官寺陆龟蒙《古锦记言》，寺有陈后主羊车一轮，唐则天皇后锦裙一幅，又南唐时修讲堂，鸱吻竹甬中得王右军《告誓文》，如是则瓦官寺又当有三绝。若别论奇艳，吴赵夫人之机绝、针绝、丝绝，一人而兼得之，尤为最胜。,金陵五种三绝,典故,文人+作品+典故,金陵,瓦官寺、清凉寺、灵谷寺,顾起元、戴安道、顾长康、维摩诘、董羽、李后主、董霄、张僧繇、李太白、颜鲁公、陆龟蒙、陈后主、唐则天皇后、王右军、赵夫人,《清臣书》、《古锦记言》、《告誓文》
43,三绝碑为张僧繇所绘,南朝,梁;唐,,,三绝碑为张僧繇所绘而非吴道子,其中灵谷寺三绝碑应为张僧繇所绘而非吴道子所绘。明初宋濂《游钟山记》也说此碑是“张僧繇画大士像，李白赞，颜真卿书，世称三绝”。,三绝碑,作品事件,作品+文人,南京,灵谷寺,张僧繇、吴道子、宋濂、李白、颜真卿,
44,《客座赘语》记金陵两块“无字碑”,晋,晋;南宋,,,顾起元《客座赘语》记金陵有两块“无字碑”,顾起元《客座赘语》中，曾说到金陵有两块“无字碑”，一块是雨花台梅岗晋太傅谢安墓碑，有石而无其辞，据说“以安功德，难为称述，故立白碑”，这很有点像武则天乾陵前立“无字碑”的意思。另一块是秦桧墓前石碑，也是有其额而无其辞，倒卧在草间，据说“当时将以求文，而莫之肯为”。秦桧死时尚未失宠，说没有人肯为秦桧作碑记，想来也是文化人的一厢情愿罢了。,“无字碑”,作品事件,文人+作品+地点,金陵,雨花台梅岗,顾起元、谢安、武则天、秦桧,
45,吕彦直纪念碑建在中山陵奠基室内,现当代,现当代,,,吕彦直纪念碑建在中山陵奠基室内,中山陵的设计者吕彦直幼居巴黎，即喜爱绘画；曾先后在清华大学建筑系和美国康奈尔大学建筑系学习深造，并作为美国建筑名师茂菲的学生与助手，在1929年参与制定《首都计划》，为南京近代城市建设的整体规划提供了一份周密详尽的方案；他还参与了金陵女子大学和燕京大学的建筑设计工作，在中西建筑精华相互交融的探索上，表现出卓越的才能。后来，他还设计了广州中山纪念堂。在主持中山陵建造工程时，吕彦直极其认真负责，呕心沥血，表现了高度的敬业精神，终因积劳成疾，在36岁的盛年去世，竟没能看到他这件辉煌作品的最后完成。为了表彰他为建造中山陵所作出的卓越贡献，1930年5月，陵园管理委员会决定，在中山陵奠基室内为吕彦直建立了纪念碑。纪念碑的上方是吕彦直的半身塑像，下部镌刻于右任所书碑文：“总理陵墓建筑师吕彦直监理陵工积劳病故，总理陵园管理委员会于十九年五月二十八日议决立石纪念。”,吕彦直,作者事件,文人+事件,南京,金陵女子大学、燕京大学、中山陵,吕彦直、孙中山,《首都计划》
46,南京地名源流与文人作品有关,南朝,六朝;明;民国;唐;南唐;宋;元;清,,,南京地名源流与文人作品有关,"简单地讲，南京旧时的地名，主要有三条源流。
其一与六朝相关，如石头城、乌衣巷、桃叶渡；其二与明代建都相关，如五龙桥、御道街、后宰门；其三则系民国年间所修，最有代表性的当是自挹江门南来经新街口东折直抵中山门的中山路了。当然，其他的朝代也会留下一些痕迹。如唐代李白一使中华门西的风凰台名垂千古，杜牧一句“牧童遥指杏花村”，便在凤凰台畔留下了一个杏花村；如南唐建都留下的北门桥、内桥、虹桥、金塞巷；如宋代王安石退隐的半山园，因秦桧之子所居而得名的状元境，因赵构南渡而流传的饮马巷、泥马巷；如大王府巷的“王府”，系指元代文宗藩邸；如清代康熙皇帝南巡留下的大行宫，乾隆年间诗人袁枚所构筑的随园……",南京地名源流,作品事件,地点+作品,南京,石头城、乌衣巷、桃叶渡、五龙桥、御道街、后宰门、挹江门、新街口、中山门、中山路、中华门、凤凰台、杏花村、北门桥、内桥、虹桥、金銮巷、半山园、状元境、饮马巷、泥马巷、大王府巷、大行宫、随园,李白、杜牧、王安石、秦桧、赵构、袁枚,
47,乌龙潭盛名原因,晋,晋;唐,,,乌龙潭的盛名得自颜真卿《天下放生池碑铭》,此外便是据说因晋人看到其中黑龙出没而得名的乌龙潭——不过乌龙潭的盛名，更得自于唐代颜真卿所书写的《天下放生池碑铭》。,乌龙潭,作品事件,地点+文人+作品,南京,乌龙潭,颜真卿,《天下放生池碑铭》
